business_name,telephone,"business_page",category,website
The Four's Restaurant & Sports Bar,(617) 720-4455,https://www.yellowpages.com/boston-ma/mip/the-fours-restaurant-sports-bar-460711092?lid=1001145846060,"Restaurants, Bar & Grills, Bars",http://thefours.com
Aria Trattoria,(617) 742-1276,https://www.yellowpages.com/boston-ma/mip/aria-trattoria-480202715?lid=1000439565630,"Restaurants, Italian Restaurants, Fine Dining Restaurants",http://www.arianorthend.com
Abe & Louie's,"(617) 536-6300",https://www.yellowpages.com/boston-ma/mip/abe-louies-2198151,"Restaurants, Steak Houses, Seafood Restaurants",https://abeandlouies.com
"Morton's The Steakhouse","(617) 266-5858","https://www.yellowpages.com/boston-ma/mip/mortons-the-steakhouse-22589061","Restaurants, Steak Houses",http://www.mortons.com
"Amrheins Restaurant","(617) 268-6189","https://www.yellowpages.com/boston-ma/mip/amrheins-restaurant-3700301","Restaurants, American Restaurants, Take Out Restaurants","http://www.amrheinsboston.com"
"Bond Restaurant-Lounge","(617) 451-1900","https://www.yellowpages.com/boston-ma/mip/bond-restaurant-lounge-22725897","Restaurants, Family Style Restaurants",""
"Island Creek Oyster Bar","(617) 532-5300","https://www.yellowpages.com/boston-ma/mip/island-creek-oyster-bar-460080280","Restaurants, Seafood Restaurants, American Restaurants","http://islandcreekoysterbar.com"
"The Oceanaire Seafood Room","(617) 742-2277","https://www.yellowpages.com/boston-ma/mip/the-oceanaire-seafood-room-455904020","Restaurants, Seafood Restaurants, Fine Dining Restaurants","https://www.theoceanaire.com/location/boston-ma"
"B&G Oysters","(617) 423-0550","https://www.yellowpages.com/boston-ma/mip/b-g-oysters-2650359","Restaurants, Seafood Restaurants, American Restaurants","http://www.bandgoysters.com"
"Fire & Ice","(617) 482-3473","https://www.yellowpages.com/boston-ma/mip/fire-ice-7382808","Restaurants, Family Style Restaurants, Mongolian Restaurants","http://www.fire-ice.com"
"Houlihan's","(617) 367-6377","https://www.yellowpages.com/boston-ma/mip/houlihans-467872658","Restaurants, American Restaurants, Family Style Restaurants","http://www.houlihans.com"
"Joe's American Bar & Grill","(617) 367-8700","https://www.yellowpages.com/boston-ma/mip/joes-american-bar-grill-1011023","Restaurants, Barbecue Restaurants, Take Out Restaurants","http://www.joesamerican.com"
"McCormick & Schmick's","(617) 720-5522","https://www.yellowpages.com/boston-ma/mip/mccormick-schmicks-467887008","Restaurants, Seafood Restaurants, American Restaurants","http://www.mccormickandschmicks.com"
"Waterline","(617) 227-3838","https://www.yellowpages.com/boston-ma/mip/waterline-471102654","Restaurants, Seafood Restaurants, Latin American Restaurants","http://www.marriott.com/hotel-restaurants/boslw-boston-marriott-long-wharf/waterline/71533/home-page.mi"
"Citizen Public House & Oyster Bar","(617) 450-9000","https://www.yellowpages.com/boston-ma/mip/citizen-public-house-oyster-bar-458900906","Restaurants, American Restaurants, Bars","http://www.citizenpub.com"
"21st Amendment","(617) 227-7100","https://www.yellowpages.com/boston-ma/mip/21st-amendment-3466595","Restaurants, American Restaurants, Taverns","http://www.21stboston.com"
"Woody's Grill & Tap","(617) 375-9663","https://www.yellowpages.com/boston-ma/mip/woodys-grill-tap-671276","Restaurants, American Restaurants, Bars","http://www.woodysfenway.com"
"Blackjack Pasta Bar","(617) 266-1313","https://www.yellowpages.com/boston-ma/mip/blackjack-pasta-bar-7016994","Restaurants, Italian Restaurants, Mediterranean Restaurants","http://www.blackjack-pasta.com"
"Atlantic Fish Co","(617) 267-4000","https://www.yellowpages.com/boston-ma/mip/atlantic-fish-co-8673013","Restaurants, Seafood Restaurants, Bars","http://www.atlanticfish.com"
"The Daily Catch","(617) 523-8567","https://www.yellowpages.com/boston-ma/mip/the-daily-catch-10766579","Restaurants, Seafood Restaurants, American Restaurants","http://thedailycatch.com/northend.html"
"Slate Bar & Grill","(857) 263-7372","https://www.yellowpages.com/boston-ma/mip/slate-bar-grill-469828926","Restaurants, American Restaurants, Bars","http://www.slatebarandgrill.co"
"Seapoint Restaurant","(617) 268-0786","https://www.yellowpages.com/boston-ma/mip/seapoint-restaurant-11800816","Restaurants, Seafood Restaurants, Take Out Restaurants",""
"Terramia Ristorante","(617) 523-3112","https://www.yellowpages.com/boston-ma/mip/terramia-ristorante-13507328","Restaurants, Italian Restaurants, Caterers","http://www.terramiaristorante.com"
"Toscano Restaurant","(617) 723-4090","https://www.yellowpages.com/boston-ma/mip/toscano-restaurant-19776374","Restaurants, Italian Restaurants, Pizza","http://www.toscanoboston.com"
"The Salty Pig","(617) 536-6200","https://www.yellowpages.com/boston-ma/mip/the-salty-pig-7520061","Restaurants, American Restaurants, Bars","http://www.thesaltypig.com"
"The Top of the Hub","(617) 536-1775","https://www.yellowpages.com/boston-ma/mip/the-top-of-the-hub-465512780","Restaurants, American Restaurants, Fine Dining Restaurants","http://topofthehub.net"
"O Ya","(617) 654-9900","https://www.yellowpages.com/boston-ma/mip/o-ya-2586128","Restaurants, Asian Restaurants, Japanese Restaurants","https://www.o-ya.restaurant"
"Neptune Oyster","(617) 742-3474","https://www.yellowpages.com/boston-ma/mip/neptune-oyster-3678122","Restaurants, Seafood Restaurants, American Restaurants","http://www.neptuneoyster.com"
"Ma Maison","(617) 725-8855","https://www.yellowpages.com/boston-ma/mip/ma-maison-11401474","Restaurants, French Restaurants, Caterers","http://www.mamaisonboston.com"
"Prezza","(617) 227-1577","https://www.yellowpages.com/boston-ma/mip/prezza-3573600","Restaurants, Italian Restaurants, Mediterranean Restaurants","http://www.prezza.com"
